Album	Release Year	Period	Format	Format 2	Format 3	Length	Genre	Genre	Genre	Genre	Genre	Instrument 1	Instrument 2	Instrument 3	Instrument 4	Instrument 5	Track Count
Bob Dylan	1962	Early Dylan	vinyl	None	None	['36:54']	folk	country blues	None	None	None	Guitar	Harmonica	None	None	None	13
The Freewheelin’ Bob Dylan	1963	Early Dylan	vinyl	None	None	['50:04']	folk	blues	None	None	None	Guitar	Harmonica	None	None	None	13
The Times They Are A-Changin’	1964	Early Dylan	vinyl	None	None	['45:36']	folk	None	None	None	None	Guitar	Harmonica	None	None	None	10
Another Side of Bob Dylan	1964	Early Dylan	vinyl	None	None	['50:37']	folk	None	None	None	None	Guitar	Harmonica	None	None	None	11
Bringing it All Back Home	1965	Early Dylan	vinyl	None	None	['47:21']	folk	folk rock	blues	None	None	Guitar	Harmonica	Keyboards	None	None	11
Highway 61 Revisited	1965	Early Dylan	vinyl	None	None	['51:26']	 folk rock	blues rock	rock and roll	None	None	Guitar	Harmonica	Piano	Slide Whistle	None	9
Blonde on Blonde	1966	Early Dylan	vinyl	None	None	['72:57']	 folk rock	blues rock	country rock	rock and roll	None	Guitar	Harmonica	Piano	None	None	14
John Wesley Harding	1967	Early Dylan	vinyl	None	None	['38:24']	 folk rock	country rock	roots rock	None	None	Guitar	Harmonica	Piano	None	None	12
Nashville Skyline	1969	Early Dylan	vinyl	None	None	['27:14']	country rock	country	None	None	None	Guitar	Harmonica	Keyboards	None	None	10
Self Portrait	1970	Early Dylan	vinyl	eight-track	None	['73:15']	folk rock	blues rock	country rock	None	None	Guitar	Harmonica	Keyboards	None	None	24
New Morning	1970	Early Dylan	vinyl	eight-track	None	['35:21']	 folk rock	country rock	None	None	None	Acoustic Guitar	Electric Guitar	Piano	Harmonica	None	12
Pat Garrett & Billy the Kid	1973	Early Dylan	vinyl	eight-track	None	['35:23']	 folk rock	country rock	soundtrack	None	None	Guitar	Harmonica	None	None	None	11
Planet Waves	1974	Early Dylan	vinyl	eight-track	None	['42:12']	roots rock	None	None	None	None	Guitar	Harmonica	Piano	None	None	11
Blood on the Tracks	1975	Early Dylan	vinyl	eight-track	cassette	['51:42']	folk	folk rock	None	None	None	Guitar	Harmonica	Organ	Mandolin	None	10
Desire	1976	Early Dylan	vinyl	eight-track	cassette	['56:13']	folk rock	None	None	None	None	Guitar	Harmonica	Piano	None	None	9
Street-Legal	1978	Early Dylan	vinyl	eight-track	cassette	['50:18']	rock	None	None	None	None	Guitar	None	None	None	None	9
Slow Train Coming	1979	Early Dylan	vinyl	eight-track	cassette	['46:19']	Christian rock	blues rock	gospel	funk	None	Guitar	None	None	None	None	9
Saved	1980	Late Dylan	vinyl	eight-track	cassette	['42:39']	Christian rock	gospel	None	None	None	Guitar	Harmonica	Piano	None	None	9
Shot of Love	1981	Late Dylan	vinyl	eight-track	cassette	['44:27']	Christian rock	gospel	None	None	None	Guitar	Harmonica	Piano	None	None	10
Infidels	1983	Late Dylan	vinyl	cassette	None	['41:39']	folk rock	heartland rock	reggae	None	None	Guitar	Harmonica	None	None	None	8
Empire Burlesque	1985	Late Dylan	vinyl	cassette	CD	['46:24']	blues rock	gospel	pop	None	None	Guitar	Keyboards	Piano	Harmonica	None	10
Knocked Out Loaded	1986	Late Dylan	vinyl	cassette	CD	['35:18']	rock	None	None	None	None	Guitar	Keyboards	None	None	None	8
Down In The Groove	1988	Late Dylan	vinyl	cassette	CD	['32:10']	rock	None	None	None	None	Guitar	Harmonica	Piano	None	None	10
Oh Mercy	1989	Late Dylan	vinyl	cassette	CD	['38:46']	rock	None	None	None	None	Guitar	Harmonica	Piano	twelve-string guitar	Hammond Organ	10
Under The Red Sky	1990	Late Dylan	vinyl	cassette	CD	['38:46']	rock	None	None	None	None	Guitar	Harmonica	Piano	Accordion	None	10
Good As I Been To You	1992	Late Dylan	vinyl	cassette	CD	['55:31']	folk	blues	None	None	None	Guitar	Harmonica	None	None	None	13
World Gone Wrong	1993	Late Dylan	vinyl	cassette	CD	['43:51']	folk	blues	None	None	None	Guitar	Harmonica	None	None	None	10
Time Out of Mind	1997	Late Dylan	vinyl	cassette	CD	['72:50']	blues rock	country	blues	rockabilly	None	Guitar	Harmonica	Piano	None	None	11
Love and Theft	2001	Late Dylan	vinyl	cassette	CD	['57:25']	roots rock	americana	blues	country	jazz	Guitar	Harmonica	Piano	None	None	12
Modern Times	2006	Late Dylan	vinyl	cassette	CD	['63:04']	folk rock	americana	blues	rockabilly	None	Guitar	Harmonica	Piano	None	None	10
Together Through Life	2009	Late Dylan	vinyl	CD	None	['45:33']	folk rock	blues rock	None	None	None	Guitar	Keyboards	None	None	None	10
Tempest	2012	Late Dylan	vinyl	digital	CD	['68:31']	folk	folk rock	None	None	None	Guitar	Piano	None	None	None	10
Rough and Rowdy Ways	2020	Late Dylan	vinyl	digital	CD	['1:10:33']	folk	blues rock	americana	rhythm and blues	None	Guitar	Harmonica	None	None	None	10
			33														359
			10														10.87878788
			13														
			17														
			2														
