Album Title	URL	Recorded	Released	Format	Studio	Genre	Length	Producer	Instrumentation
Bob Dylan / Self-Titled	https://bobdylan.fandom.com/wiki/Bob_Dylan_/_Self-Titled	['November 20 and 22, 1961']	['March 19, 1962']	['vinyl']	['Columbia Studio A; New York City, New York']	['Folk, country blues']	['36:54']	['John H. Hammond']	[' – vocals, guitar, harmonica']
The Freewheelin' Bob Dylan	https://bobdylan.fandom.com/wiki/The_Freewheelin%27_Bob_Dylan	['April 24-25, July 9, October 16, November 1 and 14, December 6, 1962 and April 24, 1963']	['May 27, 1963']	['vinyl']	['Columbia Studio A; New York City, New York']	['Folk, blues']	['50:04']	['John H. Hammond']	[' – vocals, guitar, harmonica']
The Times They Are A-Changin'	https://bobdylan.fandom.com/wiki/The_Times_They_Are_A-Changin%27	['August 6-7, October 23-24 and 31, 1963']	['January 13, 1964']	['vinyl']	['Columbia Studio A; New York City, New York']	['Folk']	['45:36']	['Tom Wilson']	[' – vocals, guitar, harmonica']
Another Side of Bob Dylan	https://bobdylan.fandom.com/wiki/Another_Side_of_Bob_Dylan	['June 9-10, 1964']	['August 8, 1964']	['vinyl']	['Columbia Studio A; New York City, New York']	['Folk']	['50:37']	['Tom Wilson']	[' – vocals, guitar, harmonica']
Bringing It All Back Home	https://bobdylan.fandom.com/wiki/Bringing_It_All_Back_Home	['January 13-15, 1965']	['March 22, 1965']	['vinyl']	['Columbia Studio A; New York City, New York']	['Folk rock, folk, blues']	['47:21']	['Tom Wilson']	[' – vocals, guitar, harmonica, keyboards']
Highway 61 Revisited	https://bobdylan.fandom.com/wiki/Highway_61_Revisited	['June 16, July 29-30, August 2 and 4, 1965']	['August 30, 1965']	['vinyl']	['Columbia Studio A; New York City, New York']	['Folk rock, blues rock, rock and roll']	['51:26']	['Bob Johnston, Tom Wilson']	[' – vocals, guitar, harmonica, piano, siren whistle']
Blonde on Blonde	https://bobdylan.fandom.com/wiki/Blonde_on_Blonde	['January 25, February 14, 16-17, March 8-10, 1966']	['June 20, 1966']	['vinyl']	['Columbia Studio A; New York City, New York, Columbia Studio B; Nashville, Tennessee']	['Folk rock, blues rock, country rock, rock and roll']	['72:57']	['Bob Johnston']	[' – vocals, guitar, harmonica, piano']
Bob Dylan's Greatest Hits	https://bobdylan.fandom.com/wiki/Bob_Dylan%27s_Greatest_Hits	['July 9, 1962-March 10, 1966']	['March 27, 1967']	['vinyl, eight-track']	['Columbia Studio A; New York City, New York, Columbia Studio B; Nashville, Tennessee']	['Folk rock, folk']	['40:44']	['John H. Hammond, Tom Wilson, Bob Johnston']	[' – vocals, guitar, harmonica']
John Wesley Harding	https://bobdylan.fandom.com/wiki/John_Wesley_Harding	['October 17, November 6 and 29, 1967']	['December 27, 1967']	['vinyl']	['Columbia Studio B; Nashville, Tennessee']	['Folk rock, country rock, roots rock']	['38:24']	['Bob Johnston']	[' – vocals, guitar, harmonica, piano']
Nashville Skyline	https://bobdylan.fandom.com/wiki/Nashville_Skyline	['February 12-17, 1969']	['April 9, 1969']	['vinyl']	['Columbia Studio B; Nashville, Tennessee']	['Country rock, country']	['27:14']	['Bob Johnston']	[' – vocals, guitar, harmonica, keyboards']
